ID URCH	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type 	URCH specific	hasNoOnto
ECAO:1000427	extracellular region	cell part								GO:0005576							GO:0005576		
ECAO:1000428	extracellular matrix	extracellular region								GO:0031012							GO:0031012		
ECAO:1000429	hyaline layer	extracellular matrix						hyaline membrane		GO:0033166							GO:0033166		
ECAO:1000430	microvillus	cell part								GO:0005902							GO:0005902		
ECAO:1000431	apical lamina	extracellular matrix	hyaline layer					fibropellin layer		GO:0032579							GO:0032579		
ECAO:1000432	secretory vesicle	intracellular part								GO:0099503							GO:0099503		
ECAO:1000433	cilium	cell part								GO:0072372							GO:0072372		
ECAO:1000434	filopodium	cell part								GO:0030175							GO:0030175		
ECAO:1000435	basal lamina	acellular membrane							UBERON:0000482										
ECAO:1000436	basal laminar vesicle	secretory vesicle						basal lamina vesicle, basal vesicle										x	
ECAO:1000437	apical vesicle	secretory vesicle																x	
ECAO:1000438	secretory granule	intracellular part								GO:0030141							GO:0030141		
ECAO:1000439	cortical granule	secretory granule						cortical vesicle		GO:0060473							GO:0060473		
ECAO:1000440	echinonectin granule	secretory granule						nectosome										x	
ECAO:1000441	mitochondrion	intracellular part								GO:0005739							GO:0005739		
ECAO:1000442	actin cytoskeleton	cytoskeleton								GO:0015629							GO:0015629		
ECAO:1000443	actin filament	intracellular part	actin cytoskeleton					microfilament, F-actin filament		GO:0005884							GO:0005884		
ECAO:1000444	nuclear part	intracellular part	nucleus							GO:0044428							GO:0044428		
ECAO:1000445	nucleoplasm	nuclear part	nucleus							GO:0005654							GO:0005654		
ECAO:1000446	nuclear envelope	nuclear part	nucleus							GO:0005635							GO:0005635		
ECAO:1000447	endoplasmic reticulum	intracellular part			previtellogenic primary oocyte stage	adult stage				GO:0005783							GO:0005783		
ECAO:1000448	spermatozoid entry point	cell part			mature oocyte stage	1-cell stage												x	
ECAO:1000449	plasma membrane	cell part			previtellogenic primary oocyte stage	adult stage		cell membrane		GO:0005886							GO:0005886		
ECAO:1000450	polar body	cell	oocyte		fully grown oocyte with off-centered germinal vesicle stage	fully grown oocyte with no nucleus stage	A small cell formed by the meiotic division of an oocyte				CL:0002090								
ECAO:1000451	spermatozoid part	cell part	spermatozoid					sperm part		GO:0097223							GO:0097223		
ECAO:1000452	spermatozoid head	spermatozoid part	spermatozoid		developing spermatozoa stage	mature spermatozoid stage	The part of the late spermatid or spermatozoon that contains the nucleus and acrosome.			GO:0061827							GO:0061827		
ECAO:1000453	spermatozoid flagellum	spermatozoid part	spermatozoid		developing spermatozoa stage	mature spermatozoid stage	A microtubule-based flagellum (or cilium) that is part of a sperm, a mature male germ cell that develops from a spermatid	sperm tail		GO:0036126							GO:0036126		
ECAO:1000454	acrosomal vesicle	secretory vesicle	spermatozoid head		developing spermatozoa stage	mature spermatozoid stage	An organelle that develops over the anterior half of the head in the spermatozoa	acrosome		GO:0001669							GO:0001669		
ECAO:1000455	presumptive primordial germ cell	cell	pre-metamorphic individual		32-cell stage	competent pluteus larva stage												x	
ECAO:1000456	primordial germ cell	cell	reproductive system		postlarval juvenile stage	adult stage		gamete			CL:0000670								
ECAO:1000457	oocyte	primordial germ cell			previtellogenic primary oocyte stage	mature oocyte stage	A female haploid germ cell.				CL:0000023								
ECAO:1000458	immature occyte	oocyte						immature egg										x	
ECAO:1000459	mature oocyte	oocyte	oocyte		mature oocyte stage	mature oocyte stage	A mature female gamet that has entered meiosis.	egg, unfertilized egg, female gamete, female germ cell			CL:0000023								
ECAO:1000460	spermatozoid	primordial germ cell			mature spermatozoid stage	mature spermatozoid stage	A mature male germ cell 	sperm, spermatozoa, spermatozoan, male gamete, mature sperm cell			CL:0000019								
ECAO:1000461	early embryonic cell	cell	embryo								CL:0000007								
ECAO:1000462	blastomere	early embryonic cell	embryo		2-cell stage	60-cell stage	 An undifferentiated cell produced by early cleavages of the fertilized egg (zygote)	blastoderm cell			CL:0000353								
ECAO:1000463	blastomere of 2-cell embryo	blastomere																x	
ECAO:1000464	blastomere of 4-cell embryo	blastomere																x	
ECAO:1000465	mesomere	blastomere	animal hemisphere		16-cell stage	16-cell stage	Intermediate size blastomere forming the animal hemisphere of the cleaving embryo	mesomeres										x	
ECAO:1000466	macromere	blastomere	vegetal hemisphere		16-cell stage	16-cell stage	Larger blastomere of the vegetal hemisphere of the cleaving embryo located below the equator	macromeres										x	
ECAO:1000467	macromere daughter cell tier	cell tier	vegetal hemisphere		28-cell stage	32-cell stage												x	
ECAO:1000468	micromere	blastomere	vegetal hemisphere		16-cell stage	28-cell stage	Small blastomere of the vegetal hemisphere of the cleaving embryo located at to the vegetal pole	micromeres										x	
ECAO:1000469	large micromere	blastomere	vegetal hemisphere	micromere	32-cell stage	60-cell stage												x	
ECAO:1000470	large micromere descendant cell	blastomere	vegetal hemisphere	large micromere	very early blastula stage	late swimming blastula stage		large micromere progeny, presumptive PMC, presumptive skeletogenic mesenchyme cell, presumptive primary mesenchyme cell										x	
ECAO:1000471	small micromere	blastomere	vegetal hemisphere	micromere	32-cell stage	late gastrula stage		SM										x	
ECAO:1000472	small micromere descendant cell	blastomere	vegetal hemisphere	small micromere	very early blastula stage	late gastrula stage		presumptive primordial germ cell										x	
ECAO:1000473	presumptive neuron	cell	nervous system		late blastula stage	adult stage	A progenitor cell of the nervous system that will develop into a neuron	neuronal progenitor cell										x	
ECAO:1000474	animal pole domain presumptive neuron	presumptive neuron	embryonic nervous system in development		late blastula stage	metamorphic larva stage		apical pole domain presumptive neuron, animal pole domain neuronal progenitor cell										x	
ECAO:1000475	ectoderm presumptive neuron	presumptive neuron	embryonic nervous system in development		late blastula stage	metamorphic larva stage		ectoderm neuronal progenitor cell										x	
ECAO:1000476	ciliary band presumptive neuron	presumptive neuron	nervous system		mesenchyme blastula stage	metamorphic larva stage		ciliary band neuronal progenitor cell										x	
ECAO:1000477	endoderm associated presumptive neuron	presumptive neuron	nervous system	endoderm	late gastrula stage	adult stage		endoderm associated neuronal progenitor cell					wei at al., 2011					x	
ECAO:1000478	neuron	cell	nervous system	presumptive neuron	prism stage	adult stage		nerve cell			CL:0000540								
ECAO:1000479	larval neuron	neuron	larval nervous system		prism stage	metamorphic larva stage												x	
ECAO:1000480	serotonergic neuron	neuron	nervous system		prism stage	metamorphic larva stage					CL:0000850								
ECAO:1000481	dopaminergic neuron	neuron	nervous system		prism stage	metamorphic larva stage					CL:0000700								
ECAO:1000482	GABAergic neuron	neuron	nervous system		prism stage	metamorphic larva stage					CL:0000617								
ECAO:1000483	sensory neuron	neuron	nervous system		prism stage	adult stage		sensory cell			CL:0000101								
ECAO:1000484	biopolar neuron	neuron	nervous system		prism stage	adult stage					CL:0000103								
ECAO:1000485	multipolar neuron	neuron	nervous system		prism stage	adult stage					CL:0000104								
ECAO:1000486	axon tract	neural structure	nervous system		prism stage	adult stage		axonal tract, axon bundle	UBERON:0001018										
ECAO:1000487	neural structure	anatomical structure	nervous system		prism stage	adult stage		neuronal structure										x	
ECAO:1000488	ciliary band neuron	larval neuron	larval nervous system	ciliary band presumptive neuron	prism stage	metamorphic larva stage		peripheral neuron										x	
ECAO:1000489	presumptive ciliary band cell	cell	embryo	ectoderm	mid blastula stage	metamorphic larva stage												x	
ECAO:1000490	endoderm associated neuron	larval neuron	larval nervous system	endoderm associated presumptive neuron	4-arm pluteus larva stage	adult stage												x	
ECAO:1000491	ganglion	neural structure			prism stage	adult stage			UBERON:0000045 										
ECAO:1000492	apical ganglion	ganglion	larval nervous system		prism stage	metamorphic larva stage		apical organ										x	
ECAO:1000493	adult neuron	neuron	adult nervous system		8-arm pluteus larva stage	adult stage												x	
ECAO:1000494	nerve ring	neural structure	adult nervous system		8-arm pluteus larva stage	adult stage												x	
ECAO:1000495	enteric nerve plexus	neural structure			4-arm pluteus larva stage	adult stage		enteric plexus, digestive nerve plexus	UBERON:0000429										
ECAO:1000496	radial nerve cord	neural structure	adult nervous system		8-arm pluteus larva stage	adult stage												x	
ECAO:1000497	primary podia associated neuron	adult neuron	adult nervous system		8-arm pluteus larva stage	adult stage												x	
ECAO:1000498	spine associated neuron	adult neuron	adult nervous system		8-arm pluteus larva stage	adult stage												x	
ECAO:1000499	pedicellaria associated neuron	adult neuron	adult nervous system		8-arm pluteus larva stage	adult stage												x	
ECAO:1000500	cell tier	embryonic structure	embryo		8-cell stage	late blastula stage		blastomere tier										x	
ECAO:1000501	animal quartet	cell tier	animal hemisphere		8-cell stage	8-cell stage	Group of four cells of equal size forming the animal hemisphere of an eight-cell stage embryo											x	
ECAO:1000502	vegetal quartet	cell tier	vegetal hemisphere		8-cell stage	8-cell stage	Group of four cells of equal size forming the vegetal hemisphere of an eight-cell stage embryo											x	
ECAO:1000503	animal tier 1	cell tier	animal hemisphere	mesomere	28-cell stage	60-cell stage		an1										x	
ECAO:1000504	animal tier 2 	cell tier	animal hemisphere	mesomere	28-cell stage	60-cell stage		an2										x	
ECAO:1000505	vegetal tier 1 	cell tier	vegetal hemisphere	macromere	56-cell stage	early blastula stage		veg1, ectoendoderm										x	
ECAO:1000506	vegetal tier 2 	cell tier	vegetal hemisphere	macromere	56-cell stage	early blastula stage		veg2, endomesoderm										x	
