term,label,definition,exact_synonym
http://purl.obolibrary.org/obo/ECAO_0100559,right preoral arm,,"PR, PRO"
http://purl.obolibrary.org/obo/ECAO_0100560,left preoral arm,,"PR, PRO"
http://purl.obolibrary.org/obo/ECAO_0100561,spicule granule,,spicule dot
http://purl.obolibrary.org/obo/ECAO_0100562,spicule rudiment,,spicule primordium
http://purl.obolibrary.org/obo/ECAO_0100563,triradiate spicule rudiment,,triradiate spicule
http://purl.obolibrary.org/obo/ECAO_0100564,hexaradiate spicule rudiment ,,hexaradiate spicule
http://purl.obolibrary.org/obo/ECAO_0100565,embryonic spicule,,
http://purl.obolibrary.org/obo/ECAO_0100566,larval spicule,"A triradiate or hexaradiate minute calcareous skeletal element that initiates most if not all skeletal structures found within the sea urchin embryo, larva and adult.",primary triradiate skeletal rudiment
http://purl.obolibrary.org/obo/ECAO_0100567,triradiate embryonic spicule,,
http://purl.obolibrary.org/obo/ECAO_0100568,triradiate larval spicule,,
http://purl.obolibrary.org/obo/ECAO_0100569,skeletal rod,,spicule rod
http://purl.obolibrary.org/obo/ECAO_0100570,anonymous rod,,
http://purl.obolibrary.org/obo/ECAO_0100571,right anterolateral rod,,
http://purl.obolibrary.org/obo/ECAO_0100572,left anterolateral rod,,
http://purl.obolibrary.org/obo/ECAO_0100573,right postoral rod,,
http://purl.obolibrary.org/obo/ECAO_0100574,left postoral rod,,
http://purl.obolibrary.org/obo/ECAO_0100575,right posterodorsal rod,,
http://purl.obolibrary.org/obo/ECAO_0100576,left posterodorsal rod,,
http://purl.obolibrary.org/obo/ECAO_0100577,right preoral rod,,
http://purl.obolibrary.org/obo/ECAO_0100578,left preoral rod,,
http://purl.obolibrary.org/obo/ECAO_0100579,dorsal arch,,
http://purl.obolibrary.org/obo/ECAO_0100580,right dorsoventral connecting rod,,
http://purl.obolibrary.org/obo/ECAO_0100581,left dorsoventral connecting rod,,
http://purl.obolibrary.org/obo/ECAO_0100582,right ventral transverse rod,,
http://purl.obolibrary.org/obo/ECAO_0100583,left ventral transverse rod,,
http://purl.obolibrary.org/obo/ECAO_0100584,scheitel,,body rod end
http://purl.obolibrary.org/obo/ECAO_0100585,body rod,,
http://purl.obolibrary.org/obo/ECAO_0100586,left body rod,,
http://purl.obolibrary.org/obo/ECAO_0100587,right body rod,,
http://purl.obolibrary.org/obo/ECAO_0100588,right recurrent rod,,
http://purl.obolibrary.org/obo/ECAO_0100589,left recurrent rod,,
http://purl.obolibrary.org/obo/ECAO_0100590,right anteroventral transverse rod,,
http://purl.obolibrary.org/obo/ECAO_0100591,left anteroventral transverse rod,,
http://purl.obolibrary.org/obo/ECAO_0100592,right anterodorsal transverse rod,,
http://purl.obolibrary.org/obo/ECAO_0100593,left anterodorsal transverse rod,,
http://purl.obolibrary.org/obo/ECAO_0100594,mouth,,
http://purl.obolibrary.org/obo/ECAO_0100595,larval mouth,,
http://purl.obolibrary.org/obo/ECAO_0100596,anus,,
http://purl.obolibrary.org/obo/ECAO_0100597,larval anus,,
http://purl.obolibrary.org/obo/ECAO_0100598,presumptive endoderm,,prospective endoderm
http://purl.obolibrary.org/obo/ECAO_0100599,endoderm,,
http://purl.obolibrary.org/obo/ECAO_0100600,archenteron,,developing digestive tract
http://purl.obolibrary.org/obo/ECAO_0100601,hindgut,,
http://purl.obolibrary.org/obo/ECAO_0100602,dorsal hindgut,,
http://purl.obolibrary.org/obo/ECAO_0100603,ventral hindgut,,
http://purl.obolibrary.org/obo/ECAO_0100604,midgut,,
http://purl.obolibrary.org/obo/ECAO_0100605,ventral midgut,,
http://purl.obolibrary.org/obo/ECAO_0100606,dorsal midgut,,
http://purl.obolibrary.org/obo/ECAO_0100607,anterior midgut,,
http://purl.obolibrary.org/obo/ECAO_0100608,posterior midgut,,
http://purl.obolibrary.org/obo/ECAO_0100609,anterior hindgut,,
http://purl.obolibrary.org/obo/ECAO_0100610,posterior hindgut,,
http://purl.obolibrary.org/obo/ECAO_0100611,foregut,,tip of the digestive tract
http://purl.obolibrary.org/obo/ECAO_0100612,ventral foregut,,
http://purl.obolibrary.org/obo/ECAO_0100613,dorsal foregut,,
http://purl.obolibrary.org/obo/ECAO_0100614,anterior foregut,,
http://purl.obolibrary.org/obo/ECAO_0100615,posterior foregut,,
http://purl.obolibrary.org/obo/ECAO_0100616,tip of archenteron,,archenteron roof
http://purl.obolibrary.org/obo/ECAO_0100617,presumptive mesoderm,,prospective mesoderm
http://purl.obolibrary.org/obo/ECAO_0100618,mesoderm,,
http://purl.obolibrary.org/obo/ECAO_0100619,skeletogenic mesoderm,The subset of the mesoderm that will give rise to the skeletal elements.,
http://purl.obolibrary.org/obo/ECAO_0100620,skeletogenic mesenchyme,Skeletogenic mesenchyme is the tissue made up of loosely connected mesoderm cells. It is located in the blastocoel and will produce all of the skeletal elements.,"SM, primary mesenchyme"
http://purl.obolibrary.org/obo/ECAO_0100621,skeletogenic mesenchyme cell,,"PMC, primary mesenchyme cell"
http://purl.obolibrary.org/obo/ECAO_0100622,syncytium,,"multinucleate cell, multinucleated cell, syncytium, syncytial cell"
http://purl.obolibrary.org/obo/ECAO_0100623,skeletogenic mesenchyme syncytium,Anatomical structure composed of skeletogenic mesenchyme cells that have fused to form a single syncytial network.,
http://purl.obolibrary.org/obo/ECAO_0100624,subequatorial skeletogenic mesenchyme ring,,"SM ring, subequatorial SM ring, PMC ring, subequatorial PMC ring, primary mesenchyme cell ring, subequatorial primary mesenchyme cell ring"
